Country Name,Country Code,Region,Adolescent fertility rate ,Adolescents out of school,"Children out of school, primary",Cost of business start-up procedures,Employment in agriculture ,Employment in industry,Employment in services,Firms with female participation in ownership,Labor force participation rate,Labor force with advanced education,Labor force,Life expectancy at birth,"Literacy rate, adult",Literacy rate youth ,"Population, female ",Prevalence of HIV ,Primary completion rate,Proportion of seats held by women in national parliaments,Self-employed,Start-up procedures to register a business,Time required to start a business,"Unemployment, female",Vulnerable employment,Wage and salaried workers
Serbia,SRB,Europe & Central Asia,13.5828,2.171200037,2481,2.3,13.27000046,18.95999908,67.77999878,28.5,47.92,72.33000183,44.68464765,78.4,99.11560822,99.99942017,51.01080364,0.1,98.42725372,37.65182186,23.47999954,7,7,11.08,21.22999954,76.51999664
South Sudan,SSD,Sub-Saharan Africa,56.8264,37.68870926,19807892,77.4,73.16000366,8.680000305,18.15999985,55.95,70.93,NA,49.42174661,59.383,58.8786087,73.63633728,49.95052483,1.2,68.23358154,28.45953003,95.62000275,12,13,13.16,95.09000206,4.380000114
Sao Tome and Principe,STP,Sub-Saharan Africa,92.0652,37.68870926,19807892,12.4,8.56000042,3.25,88.19000244,55.95,41.64,NA,36.27231366,72.814,58.8786087,73.63633728,49.95954392,0.1,68.23358154,14.54545455,56.91999817,6,7,20.51,56.44000006,43.08000183
Suriname,SUR,Latin America & Caribbean,59.6242,5.755290031,3206,93.5,4.519999981,7.539999962,87.93000031,41.97058824,39.44,75.91955584,38.40241997,75.063,93.89594269,98.78559113,49.72934294,0.2,93.6530304,31.37254902,10.68999958,8,66,11.33,10.12000012,89.30999756
Slovak Republic,SVK,Europe & Central Asia,26.1864,4.76225996,3705,1,1.340000033,20.26000023,78.40000153,28.9,52.35,71.36000061,45.42571661,80.8,97.94228363,99.67472076,51.31927509,NA,94.34963989,20,9.909999847,7,21.5,5.96,8.179999925,90.08999634
Slovenia,SVN,Europe & Central Asia,3.5288,0.680100024,513874,0,3.480000019,20.51000023,76.01000214,34.1,53.3,80.91000366,46.4365437,84.2,97.94228363,99.67472076,50.2233657,0.1,99.00180817,27.77777778,9.729999542,3,8,4.95,7.800000191,90.26999664
Sweden,SWE,Europe & Central Asia,5.1692,2.139679909,513874,0.5,0.699999988,7.139999866,92.16000366,37.8,61.19,82.88999939,47.67822963,84.7,97.94228363,99.67472076,49.92625337,NA,104.6658707,47.27793696,5.679999828,4,7.5,6.96,4.170000106,94.33000183
Eswatini,SWZ,Sub-Saharan Africa,74.0158,37.68870926,16301,10.7,10.10000038,22.17000008,67.73000336,55.95,48.61,NA,48.01512136,64.845,58.8786087,73.63633728,50.98215973,13,91.19629669,7.246376812,41.18000031,12,21.5,23.97,39.57000065,58.81999969
Sint Maarten (Dutch part),SXM,Latin America & Caribbean,61.17733016,5.755290031,705753,30.56060606,7.05149041,11.69852713,81.25180807,41.97058824,52.53513418,75.91955584,41.98765796,78.76034912,93.89594269,98.78559113,50.80860219,NA,98.29325867,31.66977612,36.53234168,8.043636364,28.0919697,9.543110613,33.80452671,63.4685266
Seychelles,SYC,Sub-Saharan Africa,60.3988,6.551239967,19807892,12.5,52.68134438,7.636499475,39.68511229,55.95,61.29248435,82.19000244,46.23354733,78.4,58.8786087,73.63633728,48.67353516,1.785360647,103.1420822,21.21212121,81.16187145,9,32,6.437824246,80.03118065,18.8387617
Syrian Arab Republic,SYR,Middle East & North Africa,37.3104,12.42323971,1534877,8.1,6.849999905,8.270000458,84.87999725,NA,14.72,NA,16.67396627,78.103,72.77185059,87.97827148,49.88585911,0.1,91.0609436,13.2,7.610000134,8,16,20.37,7.28000021,92.40000153
Turks and Caicos Islands,TCA,Latin America & Caribbean,61.17733016,5.755290031,705753,30.56060606,7.05149041,11.69852713,81.25180807,41.97058824,52.53513418,75.91955584,41.98765796,78.76034912,93.89594269,98.78559113,50.80860219,NA,98.29325867,31.66977612,36.53234168,8.043636364,28.0919697,9.543110613,33.80452671,63.4685266
Chad,TCD,Sub-Saharan Africa,154.7388,69.53501129,483664,169.3,73.38999939,0.540000021,26.06999969,55.95,64,NA,45.64362216,55.669,58.8786087,73.63633728,50.0810127,0.6,68.23358154,14.88095238,98.94999695,8,58,1.85,98.77000046,1.049999952
Togo,TGO,Sub-Saharan Africa,88.2846,37.68870926,25663,8.1,26.87000084,17.78000069,55.36000061,55.95,56.25,NA,48.33554229,61.918,55.05149841,84.00565338,50.2540533,1,85.18628693,16.48351648,88.62999725,3,2.5,2.67,87.5,11.36999989
Thailand,THA,East Asia & Pacific,44.4696,8.193099976,3203703,3,28.27000046,19.76000023,51.97000122,NA,58.79,82.13999939,45.68256795,80.9,94.17939758,98.71144867,51.30403867,0.2,94.42916107,16.2,50.25999832,5,6,0.73,48.84000015,49.74000168
Tajikistan,TJK,Europe & Central Asia,57.8652,2.139679909,513874,17.5,60.04999924,7.369999886,32.58000183,22.7,29.18,72.68085298,36.90002655,73.389,97.94228363,99.67472076,49.59831126,0.1,98.70014191,19.04761905,31.98999977,3,7,5.17,31.98999977,68.01999664
Turkmenistan,TKM,Europe & Central Asia,24.0468,2.139679909,513874,3.312,18.68000031,36.34999847,44.97000122,37.8,44.39,72.68085298,39.44071149,71.717,97.94228363,99.67472076,50.76335043,NA,98.70014191,25,35.33000183,5.26,11.762,2.04,33.06999922,64.66999817
Timor-Leste,TLS,East Asia & Pacific,30.943,8.57254982,2729,0.7,39.16999817,7.570000172,53.25999832,NA,61.89,NA,45.66377616,71.635,94.17939758,98.71144867,49.46277221,0.1,109.2082672,38.46153846,80.11000061,6,13,6.03,79.15000153,19.88999939
Tonga,TON,East Asia & Pacific,13.9984,1.220810056,3203703,6,1.519999981,45,53.47999954,NA,38.09,NA,41.45881169,72.887,94.17939758,98.71144867,49.9641138,NA,98.52411652,7.407407407,49.22000122,4,16,3.65,48.7300005,50.77999878
Trinidad and Tobago,TTO,Latin America & Caribbean,28.5776,5.755290031,705753,0.7,1.340000033,12.36999989,86.29000092,41.97058824,50.09,75.91955584,42.44210382,76.224,93.89594269,98.78559113,50.60951175,0.1,98.29325867,30.95238095,16.59000015,7,10.5,3.48,13.62000012,83.41000366
Tunisia,TUN,Middle East & North Africa,7.859,12.42323971,1534877,2.9,8.960000038,32.56999969,58.47000122,NA,24.89,NA,27.3629736,78.721,72.77185059,87.97827148,50.42224607,0.1,91.0609436,22.58064516,14.27000046,3,9,22.41,11.47000003,85.73000336
Turkey,TUR,Europe & Central Asia,24.5526,3.997050047,133381,6,25.04999924,15.85000038,59.09999847,11.3,34.27,71.33000183,33.27540632,80.563,94.42404175,99.84731293,50.64856412,NA,90.43994904,17.44966443,33.29000092,7,7,16.38,31.82999992,66.70999908
Tuvalu,TUV,East Asia & Pacific,20.63766918,30.02113914,170,15.76551724,22.06199784,20.43466903,57.4970551,NA,58.83829784,NA,43.34677843,78.88453583,94.17939758,98.71144867,49.32095673,NA,75.40984344,6.25,45.15214845,6.233448276,22.89103448,3.433555797,43.85652136,54.8478527
Tanzania,TZA,Sub-Saharan Africa,115.467,37.68870926,749689,40.6,66.70999908,3.079999924,30.21999931,55.95,79.69,NA,48.25019709,67.233,58.8786087,73.63633728,50.03811624,2.4,69.53923798,36.8956743,87.34999847,10,29.5,2.5,85.59999847,12.64999962
Uganda,UGA,Sub-Saharan Africa,113.3068,37.68870926,19807892,40.5,76.76999664,3.190000057,20.04000092,55.95,66.93,NA,49.47626445,65.622,58.8786087,73.63633728,50.74007354,2.9,68.23358154,34.8583878,83.18000031,13,24,2.21,79.79999924,16.81999969
Ukraine,UKR,Europe & Central Asia,22.2942,2.139679909,513874,0.5,11.40999985,13.98999977,74.59999847,38.6,46.87,62.45000076,47.29892445,76.98,97.94228363,99.67472076,53.67734607,0.1,98.70014191,20.51886792,12.39999962,6,6.5,7.85,11.83999966,87.59999847
Uruguay,URY,Latin America & Caribbean,57.7502,5.755290031,148,24.1,3.839999914,8.590000153,87.56999969,41.97058824,55.46,73.37000275,45.50168684,81.478,99.03526306,99.32463074,51.70367079,0.1,98.29325867,19.19191919,25.26000023,5,6.5,11.34,22.82000065,74.73999786
United States,USA,North America,17.2524,0.398620009,101961,1,0.75999999,8.869999886,90.37000275,0,56.76,69.37000275,46.16362679,81.4,NA,NA,50.51848721,0.1,103.3436279,23.43387471,5.079999924,6,4.2,3.61,3.470000096,94.91999817
Uzbekistan,UZB,Europe & Central Asia,24.6288,2.400170088,513874,2.2,23.79000092,14.28999996,61.93000031,25.9,48.84,72.68085298,40.12350902,73.829,99.99994659,99.99992371,50.12352754,0.1,105.4344788,16,34.09999847,3,3,5.49,34.09000111,65.90000153
St. Vincent and the Grenadines,VCT,Latin America & Caribbean,47.3596,0.038929999,705753,13.9,4.25,6.300000191,89.44000244,41.97058824,57.01,75.91955584,41.6440909,75.131,93.89594269,98.78559113,49.2761748,NA,102.2863998,13.04347826,21.88999939,7,10,16.58,18.00000012,78.11000061
"Venezuela, RB",VEN,Latin America & Caribbean,84.6214,5.755290031,705753,211.8,0.920000017,7.079999924,92,41.97058824,41.95,75.91955584,37.22027849,76.004,93.89594269,98.78559113,50.74585417,0.2,98.29325867,22.15568862,42.93000031,20,230,7.72,42.3900013,57.06999969
British Virgin Islands,VGB,Latin America & Caribbean,61.17733016,5.755290031,705753,30.56060606,7.05149041,11.69852713,81.25180807,41.97058824,52.53513418,75.91955584,41.98765796,78.76034912,93.89594269,98.78559113,50.80860219,NA,79.14438629,31.66977612,36.53234168,8.043636364,28.0919697,9.543110613,33.80452671,63.4685266
Virgin Islands (U.S.),VIR,Latin America & Caribbean,26.4094,5.755290031,705753,30.56060606,0.50999999,7.03000021,92.45999908,41.97058824,55.61,75.91955584,49.14504318,83.1,93.89594269,98.78559113,52.47229367,NA,98.29325867,31.66977612,6.630000114,8.043636364,28.0919697,8.74,3.290000021,93.37000275
Vietnam,VNM,East Asia & Pacific,27.3746,8.193099976,3203703,5.6,38.29999924,23.28000069,38.41999817,NA,72.73,87.73000336,47.86879036,79.523,94.56565857,98.53766632,50.08262519,0.1,98.52411652,26.72064777,58.90000153,8,16,2.01,57.76000023,41.09999847
Vanuatu,VUT,East Asia & Pacific,48.3794,8.193099976,1096,42.5,56.79000092,12.53999996,30.67000008,NA,60.97,NA,43.57236248,72.154,94.17939758,98.71144867,49.30072495,NA,89.51856995,0,70.93000031,7,18,1.42,70.65999794,29.06999969
Samoa,WSM,East Asia & Pacific,22.7044,8.193099976,3203703,6.9,6.639999866,37.22999954,56.13000107,NA,31.12,NA,34.40663404,75.464,94.17939758,98.71144867,48.24575201,NA,112.4234467,10,24.23999977,4,9,9.82,22.97000074,75.76999664
Kosovo,XKX,Europe & Central Asia,16.18400554,2.139679909,513874,1.4,6.861719945,13.2434062,79.89597166,7.3,50.57350475,71.94000244,45.297962,74.8,97.94228363,99.67472076,51.51342425,NA,98.70014191,29.45594431,13.9490668,3,4.5,6.77215351,12.03216161,86.05187916
"Yemen, Rep.",YEM,Middle East & North Africa,57.9728,12.42323971,1534877,40.2,42.27999878,13.07999992,44.63999939,NA,6.04,NA,7.881055744,67.826,72.77185059,87.97827148,49.61825904,0.1,91.0609436,0.332225914,61.56999969,7,41,25.25,60.65000153,38.43000031
South Africa,ZAF,Sub-Saharan Africa,67.7896,9.923049927,379344,0.2,3.789999962,11.98999977,84.23000336,55.95,49.59,79.12000275,45.30855772,67.679,94.53317261,98.82956696,50.71694659,10.8,93.23648071,46.34760705,13.31000042,7,40,30.5,10.58999979,86.69000244
Zambia,ZMB,Sub-Saharan Africa,116.4976,37.68870926,19807892,34,54.65999985,4.300000191,41.04000092,41.5,70.4,NA,48.42099138,66.891,58.8786087,73.63633728,50.48879029,6.2,68.23358154,17.96407186,82.18000031,7,8.5,13.09,81.97000122,17.81999969
Zimbabwe,ZWE,Sub-Saharan Africa,80.3622,37.68870926,199509,76.6,69.48000336,1.929999948,28.59000015,55.95,78.12,31.70000076,50.91446843,62.899,58.8786087,73.63633728,52.317327,5.6,89.32037354,31.85185185,79.55999756,9,27,5.55,79.29999924,20.44000053
