Country Code,comp1,comp2,comp3,comp4,comp5,comp6,comp7,comp8,comp9,comp10,comp11,comp12,comp13,comp14,comp15,comp16,comp17,comp18,comp19,comp20,comp21,comp22,comp23,comp24
ABW,-0.42440844090977475,0.29758225625929824,0.7618573713862686,0.41888910947318797,0.32799165399477975,0.273856408135855,-0.16717448390103162,0.38835385605582967,0.06291978523103016,0.13983934104455675,0.5909069019137666,-0.18181053784857343,-0.09037237948386732,-0.6916885267287268,-0.47464604850029946,0.18684354464526207,-1.0830666962623825,-0.604642567956716,0.05432249251964779,-1.47228394291921,-0.030866422860528278,-0.43524818537284954,0.21508820074136903,0.08890795501226097
AFG,1.304327043190856,-2.1902384583268795,-2.7210851032408376,1.2831274544781457,1.6177703621220114,1.7465286803214641,0.4406019395027646,1.378320185331492,-0.14782440918356085,0.7720808565275203,0.29417332307588645,-0.3847477941676013,0.633608463179979,1.7313617035969184,-2.137395964576361,-1.3715818970217508,0.3329986559929472,-2.049373613661729,-1.1124845868077213,-0.3396862336587876,1.9247191254744689,-1.0865192731934656,-0.7558812039632797,3.0113569838683154
AGO,2.008862872811025,0.9729473922276501,0.3423894767616943,-0.9633206706585838,-0.5995884923175754,0.7546432960696368,-0.24823944338463255,0.24625871834262844,1.0800572491364695,-1.1041895561258703,0.13758940962371524,1.14857029998798,0.6599937465478477,1.4423852753685167,0.3410726566218082,-1.8029268046093574,0.8912936183918355,0.4686963832596803,-0.015824901575083122,-0.6160201962361288,0.09297262063239983,-0.5900329125063635,-0.6116522291935087,-0.09064558854310119
ALB,-0.29879627118263746,-0.032863679132867876,-1.594117891075033,1.364266221590003,0.7086231972711539,1.7846371130995347,0.7889862071629636,-0.7062971393418129,-0.8261941189161688,-0.5707258557481013,-0.33499873825035115,-0.20769429065127237,-0.6304312743009196,-0.09999101971541313,-1.2100126328846859,-1.3945352294907425,0.2705344099312454,0.384760836626104,1.2719664273072069,2.0325301308260406,-1.6733991329827849,0.7052018787322404,0.10279728058272883,-0.35821540754948095
AND,-0.8696245622142386,0.6151403224929469,0.04018342122349648,-0.25976127674267574,0.4516053879032642,1.0199588153775303,0.2647880514111095,1.203814530802668,0.11179300344399691,0.5389489306526253,-0.09832205883351067,-0.6011248967284085,0.004167802394510475,0.4246224726911077,-0.058666883145245034,-0.28932506209529796,-0.3460939110223261,-0.0116578983704313,-0.49735897264321594,0.13891412754137253,-0.26385573028161796,0.35384052268119065,0.03363098718463538,-0.18085547880156982
ARE,-1.0357591990544126,-1.5100952225982913,-0.4983473046916254,-1.2040325819985163,-4.217318437740499,0.9076455368821509,2.334437382071944,2.304111067037481,-2.509027764740612,-0.8450859185820341,-0.2861791017621622,-2.9940577734685814,-0.38811070348187476,1.3433669296291628,-0.6785895907674628,-2.4886614475815283,-1.3878640161286058,1.8839597919338533,1.266677316178924,-0.31283029827593706,-1.7655411065493771,-0.13638183442031074,0.4705045712214877,-0.28426091070950804
ARG,-0.5922129656271342,0.24254554658605232,1.142102587628821,-0.01884880356259856,0.004279015278717542,0.8285244406153782,0.023277274445040557,1.2941846294214165,0.4502943234197316,-0.5341475332910982,1.6080811544136242,1.8965612481262573,-1.5338016623710522,0.36316592757086413,-0.3152091811677681,0.3502021295295714,0.6254503537165519,0.3270456391001991,-0.8132040687275277,0.3147233907681986,0.259479138323634,1.1094953847423583,-0.7565552253501718,-0.6388858659537291
ARM,-0.47442715950443426,-0.09094053828543604,-0.53965766309074,-0.22466420907806117,1.2474587915340416,0.8549696769114826,-1.3668169051376005,-0.6895979622413352,-0.5367371712464915,-0.3272525456818121,0.20452597831474387,-0.7256867214776994,1.2661386362950295,0.04094434997384114,-2.006261947784766,0.09325859987200279,0.4810536266146692,0.8403547978205697,0.7760591228481183,1.3889783408271255,-0.2978527567415775,1.2533356631663772,-0.17043145176548175,-0.5846322240018726
ASM,-0.1854543127800204,0.35515344854397857,-0.5175831214948202,0.8054089387073448,0.21242245676501526,-0.8989252445134865,0.695853042147701,0.29596608395409296,0.019730486383446256,-0.48566014402341523,-0.2496646833393444,-0.8119040773430698,-0.0793721111689655,-0.0174691775420555,-0.3480198972267597,-0.20510801894289513,-0.24172726684720838,-0.2930329127453033,0.7810549144817097,-0.19487596795082676,-0.2161594061160555,0.3073079782712802,-1.3874043154239886,-0.1364013938377829
ATG,-0.3783152956105498,0.027400650773822307,0.440419499623348,0.3395411878225484,0.2596457111020516,-0.7908676648178034,-0.25800086263842903,-0.7406011144352157,0.03526694238402573,-0.724795949059737,1.1839896991006564,1.0949892454125805,-0.3292475075334055,-0.14205256963708898,-0.16259195833724582,0.8511769965756747,-0.03576393618836348,-0.5200448443485364,-0.4085435144824434,-0.7974870662977985,-0.06722629163614847,-0.26911750691004027,0.020688548289348647,0.09361573136558131
